Architecture,Application Type,Development Type,Development Platform,Language Type,Relative Size,Used Methodology,Agile Method Used,Resource Level,Package Customisation,Industry Sector,Effort,Project Elapsed Time,Project Inactive Time,Duration
,not recorded ,Enhancement,,,XXS,,,1,,Medical & Health Care,682,14,,14
,not recorded ,Enhancement,,,XXS,,,1,,Medical & Health Care,1105,14,,14
Stand alone,Transaction/Production System ,Enhancement,MF,,S,Yes,,1,No,Communication,260,3,0,3
Client server,,Enhancement,,,S,,,1,,,789,2.6,0,2.6
,System Software ,New Development,MR,3GL,,,,,,Communication,,,,
,,New Development,PC,3GL,M1,Yes,,1,,Communication,1212,13,1,13
Client server,Financial transaction process/accounting Client Server ,Enhancement,Multi,4GL,M2,Yes,,1,,Financial,5049,5.4,0,5.4
,Financial transaction process/accounting ,New Development,MR,3GL,L,Don't Know,,1,No,Financial,17321,8,0,8
,Financial transaction process/accounting ,Enhancement,MF,3GL,M1,Don't Know,,1,No,Insurance,6062,4,0,4
,not recorded ,Enhancement,,,M1,,,1,,Medical & Health Care,9436,20,,20
,,Enhancement,,,M2,Don't Know,,1,Don't Know,,2281,6,0,6
Client server,Financial transaction process/accounting Client Server ,Enhancement,Multi,4GL,XS,Yes,,1,,Financial,224,3.6,0,3.6
Multi-tier with web interface,relatively complex application ,Enhancement,Multi,4GL,XS,Yes,,1,,Communication,626,,,
Client server,,New Development,MR,4GL,S,,,1,,Electronics & Computers,1434,6,,6
,,Enhancement,MF,3GL,M1,,,1,,,7366,6.8,,6.8
Client server,Cars selling ,Enhancement,MR,3GL,M1,Yes,,3,No,Manufacturing,3894,13.5,,13.5
Client server,Follow up of car failure ,Enhancement,PC,3GL,S,Yes,,,No,Manufacturing,2460,9.9,,9.9
,not recorded ,Enhancement,,,S,,,1,,Medical & Health Care,3535,15,,15
,Transaction/Production System ,Enhancement,,4GL,M1,Yes,,1,,Communication,10437,6,,6
Stand alone,Management Information System ,New Development,MR,4GL,M1,Yes,,2,No,Communication,4622,12,,12
Client server,Geographic or spatial information system ,Enhancement,PC,3GL,,Yes,,1,,Government,16028,5.7,,5.7
,not recorded ,Enhancement,,,XS,,,1,,Medical & Health Care,1483,5,,5
Stand alone,Stock Management ,Enhancement,MF,,M2,Yes,,3,No,Manufacturing,4659,5.6,,5.6
Multi-tier with web public interface,Promotions ,New Development,Proprietary,5GL,M1,Yes,Yes,1,,Wholesale & Retail,257,2,,2
Multi-tier / Client server,Financial transaction process/accounting ,Enhancement,Multi,,M1,Don't Know,,1,No,Professional Services,104,1.3,0,1.3
,,Enhancement,Multi,4GL,S,Yes,,1,,Communication,190,3,,3
Stand alone,Management Information System ,New Development,MF,3GL,XL,No,,1,No,Professional Services,60270,22,,22
,Financial transaction process/accounting ,Enhancement,MF,,S,Yes,,1,,Financial,159,,,
,Financial transaction process/accounting ,Enhancement,,,S,Yes,,1,,Financial,1652,,,
,E-Business ,Enhancement,,3GL,S,Yes,,1,,Wholesale & Retail,1153,,,
,,Enhancement,,3GL,M2,Don't Know,,1,Don't Know,,3874,7,0,7
,,Enhancement,,,L,Don't Know,,1,Don't Know,,1960,3,0,3
Client server,Embedded system/real-time application ,Enhancement,Multi,4GL,XXS,Yes,,1,,Manufacturing,273,,,
,,New Development,PC,3GL,M2,Yes,,1,,Insurance,2464,5.4,0.4,5.4
Stand alone,Management Information System ,New Development,MR,4GL,M1,No,,4,No,Financial,1306,7,,7
Client server,Telecom & network management ,Enhancement,PC,3GL,M1,Yes,,1,,Communication,1994,4,0,4
Multi-tier,,New Development,MF,4GL,M1,Yes,,4,,Manufacturing,19943,16,0,16
,,New Development,MR,3GL,M1,Yes,,1,,Insurance,4288,20,8,20
Multi-tier,Management Information System ,New Development,MF,4GL,M2,Yes,,1,No,Government,3047,,,
,Maintenance ,Enhancement,MF,3GL,M1,Yes,,1,,,3866,,,
,Financial transaction process/accounting ,Enhancement,MF,3GL,M1,,,1,,Banking,1900,,,
Multi-tier / Client server,Financial application area ,Enhancement,Multi,4GL,XS,Yes,,1,,,139,0.5,,0.5
,,New Development,,3GL,L,Don't Know,,1,Don't Know,,16702,15,0,15
Client server,relatively complex application ,Enhancement,Multi,4GL,M1,Yes,,1,,Communication,1804,,,
Stand alone,Management Information System ,New Development,MF,3GL,M1,Yes,,4,No,Government,1888,7,,7
Client server,Catalogue/register of things or events ,New Development,Multi,4GL,M2,,,1,,Government,9420,9,,9
Multi-tier / Client server,Financial transaction process/accounting ,New Development,Multi,3GL,M2,Don't Know,,1,No,Service Industry,3592,9.4,0,9.4
,Financial transaction process/accounting ,Enhancement,MF,4GL,M1,Don't Know,,1,No,Insurance,903,3,0,3
,Financial transaction process/accounting ,Enhancement,MF,,XS,Don't Know,,1,No,Banking,209,2,0,2
,,Enhancement,MF,3GL,XS,,,1,,,173,1.8,,1.8
,Software development tool ,Enhancement,Multi,3GL,,Yes,,1,,,2091,3.1,,3.1
Client server,Client Server ,New Development,Multi,3GL,L,,,4,,,31836,16.4,,16.4
,,New Development,,,M2,Don't Know,,1,Don't Know,,1586,6,0,6
,Personnel system ,New Development,MF,3GL,M2,Yes,,1,No,Insurance,,5.5,0,5.5
Stand alone,Customer billing/relationship management Billing management - Batch processing ,New Development,MF,,M2,Yes,,1,,Communication,2895,,0,
Multi-tier / Client server,Financial transaction process/accounting ,Enhancement,Multi,3GL,M2,Don't Know,,1,No,Insurance,9264,3,0,3
Stand alone,Mixed ,Enhancement,,4GL,M1,Yes,,1,,Communication,1823,7,,7
Client server,Management or performance reporting ,New Development,MR,4GL,M2,Yes,,1,,Manufacturing,12815,8,,8
Client server,Mobile Application ,New Development,PC,3GL,S,,,1,No,Insurance,218,2.6,0,2.6
,Embedded system/real-time application ,Enhancement,,4GL,M1,Yes,,1,,Manufacturing,2708,,,
Client server,Client Server ,POC,Multi,4GL,M2,,,4,,Banking,1697,2.2,,2.2
,Financial transaction process/accounting ,Enhancement,Multi,4GL,XS,Yes,,1,,,51,0.48,,0.48
Stand alone,Transaction/Production System ,Enhancement,PC,3GL,M2,Yes,,1,,Communication,3289,10,,10
,,New Development,,,S,Don't Know,,1,Don't Know,,8286,12,0,12
Client server,Management or performance reporting ,New Development,Multi,4GL,M1,Yes,,1,,Manufacturing,549,1,0,1
,Maintenance ,Enhancement,MF,3GL,M2,Yes,,1,,,27251,,,
Multi-tier,Catalogue/register of things or events ,Enhancement,Multi,4GL,XXS,,,1,,Manufacturing,62,,,
Stand alone,Transaction/Production System ,New Development,MF,ApG,M2,No,,4,No,Government,25401,12,0,12
Stand alone,Management Information System ,Enhancement,PC,4GL,S,Yes,,1,,Communication,686,5,,5
Client server,Telecom & network management ,Enhancement,MR,3GL,M1,Yes,,1,,Communication,2075,11,,11
,Management Information System Linguistic Software ,New Development,PC,,M1,,,4,,Electronics & Computers,331,0.91,0.08,0.91
Stand alone,,Enhancement,MF,3GL,XS,,,1,,Electronics & Computers,688,4,,4
,,Enhancement,,4GL,M1,Yes,,1,,Communication,1822,4,,4
Multi-tier / Client server,Financial application area ,Enhancement,Multi,4GL,M1,Yes,,1,,,1136,2.9,,2.9
Client server,Office Information System ,Enhancement,PC,3GL,M2,No,,1,Yes,Wholesale & Retail,2032,,,
,,New Development,Hand Held,3GL,XS,Yes,,1,,Communication,691,2,,2
,Embedded Systems ,New Development,,4GL,,,,4,,Wholesale & Retail,136362,18,,18
,not recorded ,Enhancement,,,M1,,,1,,Medical & Health Care,8060,5,,5
,not recorded ,Enhancement,,,XS,,,1,,Medical & Health Care,5242,12,,12
Stand alone,Management Information System ,New Development,MF,3GL,M1,Yes,,4,Yes,Government,4744,,,
,,Enhancement,MF,3GL,S,,,1,,,12102,8.9,,8.9
,,Enhancement,MR,3GL,XXS,,,1,,,282,2.1,,2.1
,Protocols ,Enhancement,MR,3GL,,,,4,,Communication,23730,8.5,,8.5
,Financial transaction process/accounting ,Enhancement,Multi,4GL,M1,Yes,,1,,,1179,3.4,,3.4
,Voice Provisioning ,Enhancement,,3GL,M1,Yes,,1,,Communication,9165,,,
,Network management ,New Development,MR,3GL,L,Yes,,4,No,Communication,21054,,,
,Financial transaction process/accounting ,Enhancement,Multi,4GL,M1,Yes,,1,,,902,2.4,,2.4
,,Enhancement,,,XXS,,,1,,,48,0.46,0,0.46
Multi-tier,,Enhancement,MF,3GL,M2,Yes,,2,No,Insurance,5053,11,,11
,not recorded ,Enhancement,,,XS,,,1,,Medical & Health Care,2633,9,,9
,,New Development,,3GL,M1,Don't Know,,1,Don't Know,,2027,11,0,11
,Transaction/Production System ,Enhancement,MF,4GL,M1,No,,1,No,Financial,1939,10,,10
,Financial transaction process/accounting ,Enhancement,MF,3GL,M2,,,1,,Banking,11701,,,
Stand alone,Financial transaction process/accounting ,Enhancement,MF,3GL,M1,Yes,,1,,Government,2923,21.6,,21.6
,relatively complex application ,Enhancement,MF,3GL,S,Yes,,1,,Communication,700,,,
,,New Development,MF,3GL,M2,Yes,,1,,Insurance,1961,6,0,6
Client server,Internet Banking ,Enhancement,MR,3GL,M1,Yes,,1,Yes,,8640,12.1,0,12.1
,not recorded ,Enhancement,,,XS,,,1,,Medical & Health Care,3933,24,,24
Multi-tier,Customer relationship management ,Enhancement,Multi,4GL,S,,,1,,Communication,202,11,,11
Multi-tier with web public interface,Calculation and quotation of casualty insurance ,New Development,PC,4GL,M1,Yes,,4,,Insurance,951,3.4,0,3.4
,Sales contact management ,New Development,PC,4GL,S,Don't Know,,1,No,Wholesale & Retail,86,2.6,0,2.6
,Financial transaction process/accounting ,Enhancement,MF,3GL,M1,Don't Know,,1,No,Insurance,8371,2.9,0,2.9
Stand alone,,Enhancement,MF,3GL,S,,,2,No,Manufacturing,114,1,,1
,,New Development,,,M2,Don't Know,,1,Don't Know,,5968,10,0,10
Stand alone,,Enhancement,MF,ApG,S,,,2,No,Manufacturing,348,3,,3
Stand alone,,New Development,MF,3GL,M1,Yes,,1,,Insurance,4851,4.1,0.13,4.1
Client server,,Enhancement,,3GL,S,,,1,,,495,2.4,0,2.4
Stand alone,Transaction/Production System ,New Development,MF,3GL,M2,Yes,,1,,Government,18521,9,,9
Stand alone,Stock control & order processing Workflow support & management Electronic Data Interchange ,Enhancement,MR,3GL,M1,Yes,,1,,Communication,1516,6,0,6
Stand alone,Financial application area ,Enhancement,MF,3GL,S,Yes,,1,,,482,4.6,,4.6
,,Enhancement,,3GL,M2,Don't Know,,1,Don't Know,,1507,3,0,3
,,New Development,PC,4GL,M2,Yes,,1,,Government,1489,9,0,9
Client server,Management Information System ,New Development,PC,3GL,L,Yes,Yes,1,,Education,52743,5,,5
Client server,Provider management ,Enhancement,PC,3GL,S,Yes,,3,No,Manufacturing,330,5.4,,5.4
,,Enhancement,MF,3GL,M2,Yes,,1,,Manufacturing,8249,8,0,8
,,New Development,MF,4GL,M1,Yes,,1,,Insurance,2300,5,1,5
Multi-tier,,Enhancement,Multi,3GL,M1,Yes,,1,,Insurance,1600,6,0.09,6
,Financial transaction process/accounting ,Enhancement,MF,3GL,M2,Don't Know,,1,No,Insurance,16613,2.9,0,2.9
,Financial transaction process/accounting ,Enhancement,Multi,3GL,M1,Yes,,1,,,242,3.6,,3.6
Client server,,Re-development,PC,,L,Yes,,4,No,,9254,,,
Client server,,New Development,Multi,3GL,M2,Yes,,1,,Government,21103,22,0,22
Multi-tier,Management or performance reporting ,New Development,Multi,4GL,S,,,1,,Banking,960,2,,2
Multi-tier with web public interface,Financial application area ,New Development,Multi,3GL,M2,Yes,,1,,,2462,6,,6
Stand alone,Executive Information System ,New Development,PC,4GL,XL,No,,1,No,Communication,4448,,,
Client server,Workflow support & management ,Enhancement,Multi,3GL,M2,Yes,,1,,Service Industry,3709,11,0,11
,,New Development,MR,3GL,S,Yes,,1,,Banking,190,4,,4
Client server,,Enhancement,MR,3GL,S,Yes,,3,No,Manufacturing,1264,2.2,,2.2
Client server,Financial transaction process/accounting ,New Development,MF,3GL,S,Yes,,1,,Banking,11239,36,6,36
,Transaction/Production System ,New Development,PC,3GL,L,Yes,,1,TIBCO,Financial,38095,18,0,18
Stand alone,Motor simulator ,Enhancement,PC,4GL,M2,Yes,,,Yes,Manufacturing,4484,9.8,,9.8
Multi-tier with web interface,relatively complex application ,Enhancement,Multi,4GL,M2,Yes,,1,,Communication,5086,,,
,,Enhancement,,,M1,Don't Know,,1,Don't Know,,1100,4,0,4
,relatively complex application ,Enhancement,MF,3GL,S,Yes,,1,,Communication,255,,,
,,Enhancement,MF,3GL,M2,Yes,,1,,Insurance,2587,8,0,8
Client server,Financial transaction process/accounting Client Server ,Enhancement,Multi,4GL,XS,Yes,,1,,Financial,26,0.9,0,0.9
Multi-tier / Client server,Financial application area ,New Development,Multi,4GL,M2,Yes,,1,,,15041,13.2,,13.2
,Billing ,Enhancement,,3GL,S,Yes,,1,,Wholesale & Retail,1633,,,
,,Enhancement,MF,3GL,XS,,,1,,,298,2.4,,2.4
Client server,Database  Parts ,Enhancement,Multi,3GL,S,Yes,,3,No,Manufacturing,676,5.8,,5.8
,not recorded ,Enhancement,,,XXS,,,1,,Medical & Health Care,168,6,,6
,Automated Customer Statements ,Enhancement,PC,3GL,M2,Yes,,1,No,Financial,1821,6,0,6
,Financial transaction process/accounting Data Warehouse ,Enhancement,,4GL,S,Yes,,1,,Financial,305,2.4,0,2.4
,,New Development,,,L,Don't Know,,1,Don't Know,,10522,9,0,9
,not recorded ,Enhancement,,,XXS,,,1,,Medical & Health Care,1543,5,,5
Stand alone,Decision Support System ,Enhancement,MF,4GL,L,Yes,,1,No,Electronics & Computers,13661,7,,7
Client server,Embedded system/real-time application ,Enhancement,Multi,4GL,M2,Yes,,1,,Manufacturing,6725,,,
,Financial transaction process/accounting ,Enhancement,MF,3GL,S,Don't Know,,1,No,Insurance,210,3,0,3
,Voice Provisioning ,Enhancement,,3GL,M1,Yes,,1,,Communication,4814,,,
,Financial transaction process/accounting ,Enhancement,MR,3GL,L,Don't Know,,1,No,Insurance,2258,3,0,3
Stand alone,Financial transaction process/accounting ,Enhancement,MF,3GL,S,Yes,,1,,Government,500,21.6,,21.6
,CIS ,New Development,PC,4GL,L,,,1,,Electronics & Computers,1229,6.4,,6.4
,Financial transaction process/accounting ,New Development,MF,3GL,M1,Don't Know,,1,No,Insurance,2786,5,0,5
,,New Development,PC,4GL,L,,,1,,,10506,10,0,10
Client server,Management Information System ,Enhancement,MR,3GL,M2,Yes,,1,,Communication,9075,8,,8
,not recorded ,Enhancement,,,XXS,,,1,,Medical & Health Care,363,10,,10
,Financial transaction process/accounting ,New Development,MR,4GL,L,Don't Know,,1,No,Service Industry,13728,12,0,12
Client server,Geometric design ,Enhancement,MR,3GL,S,Yes,,,No,Manufacturing,1412,7.7,,7.7
,Office Information System ,New Development,PC,3GL,L,No,,1,No,Banking,17744,9,0,9
,Sales contact management ,New Development,PC,3GL,M2,Don't Know,,1,No,Medical & Health Care,,10,0,10
Multi-tier / Client server,Customer billing/relationship management ,Enhancement,Multi,4GL,S,Don't Know,,1,No,Banking,168,1.1,0,1.1
Stand alone,Financial transaction process/accounting ,Enhancement,MF,3GL,M2,Yes,,1,,Government,6356,21.6,,21.6
,Embedded system/real-time application ,Enhancement,,4GL,M1,Yes,,1,,Communication,5401,,,
Multi-tier,Online. eSales ,Enhancement,Multi,,M1,,,1,,Communication,686,4.5,,4.5
,,New Development,,3GL,M2,Don't Know,,1,Don't Know,,6050,10,0,10
,,Enhancement,MF,3GL,S,,,1,,,2215,6.7,,6.7
Stand alone,Transaction/Production System ,New Development,MF,,M1,Yes,,1,No,Banking,3084,5,1,5
Multi-tier with web public interface,Financial application area ,New Development,Multi,3GL,M1,Yes,,1,,,1442,4.5,,4.5
,not recorded ,Enhancement,,,XS,,,1,,Medical & Health Care,876,9,,9
,,New Development,Multi,4GL,M2,,,1,,,4920,9,,9
Stand alone,Financial transaction process/accounting ,Enhancement,MF,3GL,S,Yes,,1,,Government,387,10.7,,10.7
Multi-tier / Client server,Financial application area ,Enhancement,Multi,4GL,S,Yes,,1,,,322,1.6,,1.6
Client server,Cost logistic Computing ,Enhancement,,3GL,M2,Yes,,3,No,Manufacturing,4576,13.7,,13.7
,Financial transaction process/accounting ,Enhancement,Multi,3GL,S,Yes,,1,,,539,2.6,,2.6
Multi-tier,Customer relationship management ,Enhancement,Multi,4GL,S,,,1,,Communication,346,4.4,,4.4
,,New Development,Multi,,L,Yes,,1,,Communication,9110,28,16,28
,,New Development,,,L,Don't Know,,1,Don't Know,,5051,,,
,Trading ,Enhancement,MF,3GL,M2,Yes,,1,No,Insurance,6210,4.8,0,4.8
,Mainframe ,New Development,MF,3GL,,,,4,,Manufacturing,4776,11.1,,11.1
Multi-tier,"Document management Financial transaction process/accounting Image, video or sound processing ",Enhancement,MF,3GL,M1,Yes,,1,,Government,12341,16.8,0,16.8
Client server,,Enhancement,,3GL,XS,,,1,,,301,1.4,0,1.4
,relatively complex application ,Enhancement,MF,3GL,S,Yes,,1,,Communication,1081,,,
Stand alone,Management Information System ,Enhancement,MF,ApG,M1,Yes,,4,No,Utilities,1532,8,2,8
,,Enhancement,,3GL,M1,,,1,,,1976,4.9,0,4.9
Stand alone,Business Customer billing/relationship management ,Enhancement,MF,3GL,M1,Yes,,1,,Communication,2123,3,,3
Multi-tier,Customer relationship management ,Enhancement,Multi,4GL,M2,,,1,,Communication,914,4.4,,4.4
,,Enhancement,,,S,Don't Know,,1,Don't Know,,1419,6,0,6
Stand alone,Transaction/Production System ,Enhancement,MF,3GL,M2,Yes,,1,No,,7199,9.6,9.4,9.6
,Embedded system/real-time application ,Enhancement,,4GL,M1,Yes,,1,,Communication,2372,,,
Stand alone,Local ,Enhancement,MF,3GL,M1,Yes,,1,,,3385,,,
Multi-tier / Client server,Financial transaction process/accounting ,Enhancement,Multi,3GL,M1,Don't Know,,1,No,Insurance,5232,4,0,4
,Transaction/Production System ,New Development,,4GL,M1,Yes,,1,,Communication,5690,4,,4
Multi-tier,Online. eSales ,Enhancement,Multi,,M1,,,1,,Communication,382,2.8,,2.8
,not recorded ,Enhancement,,,XS,,,1,,Medical & Health Care,3189,14,,14
,,Enhancement,MF,3GL,M1,Yes,,1,,Insurance,1116,5,,5
,Complex process control ,Enhancement,MF,3GL,M1,Don't Know,,1,No,Mining,1089,4,0,4
Stand alone,Transaction/Production System ,New Development,MF,3GL,S,Yes,,1,,Government,500,5,,5
,,New Development,,4GL,XL,Don't Know,,1,Don't Know,,43300,31,0,31
,Financial transaction process/accounting ,Enhancement,MF,3GL,S,Yes,,1,No,Banking,496,4,0,4
Client server,Embedded system/real-time application ,Enhancement,Multi,3GL,XS,Yes,,1,,Manufacturing,763,,,
Client server,Follow up of the production in  factories ,Enhancement,MR,3GL,M1,Yes,,3,No,Manufacturing,3765,10.9,,10.9
Stand alone,Financial application area ,Enhancement,MF,3GL,S,Yes,,1,,,1032,3.8,,3.8
,,Enhancement,,3GL,,,,4,,Electronics & Computers,3203,10.5,,10.5
,,Enhancement,MR,4GL,M2,Yes,,1,,Insurance,4958,7,1,7
,not recorded ,Enhancement,,,S,,,1,,Medical & Health Care,2066,9,,9
,Transaction/Production System ,Enhancement,,4GL,M1,Yes,,1,,Communication,3580,13,,13
,not recorded ,Enhancement,,,S,,,1,,Medical & Health Care,3346,17,,17
,Mainframe ,New Development,MF,3GL,,,,4,,,6533,,,
,Packaged software ,New Development,PC,4GL,M2,,,1,,Electronics & Computers,4369,4,,4
Multi-tier,Billing and ERP ,Enhancement,Multi,3GL,M1,,,1,,Communication,810,5.5,,5.5
Client server,Reporting on factoring process ,New Development,MR,3GL,M1,Yes,,3,No,Manufacturing,2710,5,,5
,,New Development,Multi,4GL,M1,Yes,,1,,Insurance,3558,9,,9
,,New Development,MF,3GL,M2,Yes,,1,,Insurance,3413,6,,6
,,Enhancement,MF,3GL,S,,,1,,,3186,4.9,,4.9
,,New Development,PC,4GL,,,,4,,Banking,3684,6.6,,6.6
Multi-tier,Customer relationship management ,Enhancement,Multi,4GL,S,,,1,,Communication,174,4,,4
Multi-tier with web public interface,Geographic or spatial information system Online analysis and reporting ,Re-development,Multi,3GL,M2,Yes,,1,,Service Industry,5841,10,,10
